nodo,conexiones,x,y,gondolas,posiciones
1;1,1;2-2;1,0,0,None,None
1;2,1;1-1;3,0,54.4,1I,1;2;3;4
1;3,1;2-1;4,0,108.8,1I,5;6;7
1;4,1;3-1;5,0,163.2,1I,8;9;10
1;5,1;4-1;6,0,217.6,1I,11;12;13
1;6,1;5-1;7,0,272,1I,14;15;16;17
1;7,1;6-1;8-2;7,0,326.4,None,None
1;8,1;7-1;9,0,380.8,2I,1;2;3;4
1;9,1;8-1;10,0,435.2,2I,5;6;7
1;10,1;9-1;11,0,489.6,2I,8;9;10
1;11,1;10-1;12,0,544,2I,11;12;13
1;12,1;11-1;13,0,598.4,2I,14;15;16;17
1;13,1;12-2;13,0,652.8,None,None
2;1,2;2-1;1-2;1,81.6,0,None,None
2;2,2;1-2;3,81.6,54.4,1D;3I,1;2;3;4
2;3,2;2-2;4,81.6,108.8,1D;3I,5;6;7
2;4,2;3-2;5,81.6,163.2,1D;3I,8;9;10
2;5,2;4-2;6,81.6,217.6,1D;3I,11;12;13
2;6,2;5-2;7,81.6,272,1D;3I,14;15;16;17
2;7,2;6-2;8-1;7-3;7,81.6,326.4,None,None
2;8,2;7-2;9,81.6,380.8,None,None
2;9,2;8-2;10,81.6,435.2,None,None
2;10,2;9-2;11,81.6,489.6,None,None
2;11,2;10-2;12,81.6,544,None,None
2;12,2;11-2;13,81.6,598.4,None,None
2;13,2;12-1;13-3;13,81.6,652.8,None,None
3;1,3;2-2;1-4;1,163.2,0,None,None
3;2,3;1-3;3,163.2,54.4,None,None
3;3,3;2-3;4,163.2,108.8,None,None
3;4,3;3-3;5,163.2,163.2,None,None
3;5,3;4-3;6,163.2,217.6,None,None
3;6,3;5-3;7,163.2,272,None,None
3;7,3;6-3;8-2;7-4;7,163.2,326.4,None,None
3;8,3;7-3;9,163.2,380.8,None,None
3;9,3;8-3;10,163.2,435.2,None,None
3;10,3;9-3;11,163.2,489.6,None,None
3;11,3;10-3;12,163.2,544,None,None
3;12,3;11-3;13,163.2,598.4,None,None
3;13,3;12-2;13-4;13,163.2,652.8,None,None
4;1,4;2-3;1-5;1,244.8,0,None,None
4;2,4;1-4;3,244.8,54.4,None,None
4;3,4;2-4;4,244.8,108.8,None,None
4;4,4;3-4;5,244.8,163.2,None,None
4;5,4;4-4;6,244.8,217.6,None,None
4;6,4;5-4;7,244.8,272,None,None
4;7,4;6-4;8-3;7-5;7,244.8,326.4,None,None
4;8,4;7-4;9,244.8,380.8,None,None
4;9,4;8-4;10,244.8,435.2,None,None
4;10,4;9-4;11,244.8,489.6,None,None
4;11,4;10-4;12,244.8,544,None,None
4;12,4;11-4;13,244.8,598.4,None,None
4;13,4;12-3;13-5;13,244.8,652.8,None,None
5;1,5;2-4;1-6;1,326.4,0,None,None
5;2,5;1-5;3,326.4,54.4,None,None
5;3,5;2-5;4,326.4,108.8,None,None
5;4,5;3-5;5,326.4,163.2,None,None
5;5,5;4-5;6,326.4,217.6,None,None
5;6,5;5-5;7,326.4,272,None,None
5;7,5;6-5;8-4;7-6;7,326.4,326.4,None,None
5;8,5;7-5;9,326.4,380.8,None,None
5;9,5;8-5;10,326.4,435.2,None,None
5;10,5;9-5;11,326.4,489.6,None,None
5;11,5;10-5;12,326.4,544,None,None
5;12,5;11-5;13,326.4,598.4,None,None
5;13,5;12-4;13-6;13,326.4,652.8,None,None
6;1,6;2-5;1-7;1,408,0,None,None
6;2,6;1-6;3,408,54.4,None,None
6;3,6;2-6;4,408,108.8,None,None
6;4,6;3-6;5,408,163.2,None,None
6;5,6;4-6;6,408,217.6,None,None
6;6,6;5-6;7,408,272,None,None
6;7,6;6-6;8-5;7-7;7,408,326.4,None,None
6;8,6;7-6;9,408,380.8,None,None
6;9,6;8-6;10,408,435.2,None,None
6;10,6;9-6;11,408,489.6,None,None
6;11,6;10-6;12,408,544,None,None
6;12,6;11-6;13,408,598.4,None,None
6;13,6;12-5;13-7;13,408,652.8,None,None
7;1,7;2-6;1-8;1,489.6,0,None,None
7;2,7;1-7;3,489.6,54.4,None,None
7;3,7;2-7;4,489.6,108.8,None,None
7;4,7;3-7;5,489.6,163.2,None,None
7;5,7;4-7;6,489.6,217.6,None,None
7;6,7;5-7;7,489.6,272,None,None
7;7,7;6-7;8-6;7-8;7,489.6,326.4,None,None
7;8,7;7-7;9,489.6,380.8,None,None
7;9,7;8-7;10,489.6,435.2,None,None
7;10,7;9-7;11,489.6,489.6,None,None
7;11,7;10-7;12,489.6,544,None,None
7;12,7;11-7;13,489.6,598.4,None,None
7;13,7;12-6;13-8;13,489.6,652.8,None,None
8;1,8;2-7;1-9;1,571.2,0,None,None
8;2,8;1-8;3,571.2,54.4,None,None
8;3,8;2-8;4,571.2,108.8,None,None
8;4,8;3-8;5,571.2,163.2,None,None
8;5,8;4-8;6,571.2,217.6,None,None
8;6,8;5-8;7,571.2,272,None,None
8;7,8;6-8;8-7;7-9;7,571.2,326.4,None,None
8;8,8;7-8;9,571.2,380.8,None,None
8;9,8;8-8;10,571.2,435.2,None,None
8;10,8;9-8;11,571.2,489.6,None,None
8;11,8;10-8;12,571.2,544,None,None
8;12,8;11-8;13,571.2,598.4,None,None
8;13,8;12-7;13-9;13,571.2,652.8,None,None
10;1,9;1,734.4,0,None,None
9;1,9;2-8;1-10;1,652.8,0,None,None
9;2,9;1-9;3,652.8,54.4,None,None
9;3,9;2-9;4,652.8,108.8,None,None
9;4,9;3-9;5,652.8,163.2,None,None
9;5,9;4-9;6,652.8,217.6,None,None
9;6,9;5-9;7,652.8,272,None,None
9;7,9;6-9;8-8;7-10;7,652.8,326.4,None,None
9;8,9;7-9;9,652.8,380.8,None,None
9;9,9;8-9;10,652.8,435.2,None,None
9;10,9;9-9;11,652.8,489.6,None,None
9;11,9;10-9;12,652.8,544,None,None
9;12,9;11-9;13,652.8,598.4,None,None
9;13,9;12-8;13-10;13,652.8,652.8,None,None
10;7,10;8-9;7-11;7,734.4,326.4,None,None
10;8,10;7-10;9,734.4,380.8,None,None
10;9,10;8-10;10,734.4,435.2,None,None
10;10,10;9-10;11,734.4,489.6,None,None
10;11,10;10-10;12,734.4,544,None,None
10;12,10;11-10;13,734.4,598.4,None,None
10;13,10;12-9;13-11;13,734.4,652.8,None,None
11;7,11;8-10;7,816,326.4,None,None
11;8,11;7-11;9,816,380.8,None,None
11;9,11;8-11;10,816,435.2,None,None
11;10,11;9-11;11,816,489.6,None,None
11;11,11;10-11;12,816,544,None,None
11;12,11;11-11;13,816,598.4,None,None
11;13,11;12-10;13,816,652.8,None,None
